YEAR,QTR,WEEK,PRODUCT,INDUSTRY_UNITS
2010,2010-Q1,2010-09,Top Mount,81428
2010,2010-Q1,2010-10,2 Door Bottom Mount,8336
2010,2010-Q1,2010-10,Built-in Ovens,13033
2010,2010-Q1,2010-10,Cooktops,13268
2010,2010-Q1,2010-10,Dishwasher,120068
2010,2010-Q1,2010-10,Dryer,133982
2010,2010-Q1,2010-10,Free Standing Ranges,120765
2010,2010-Q1,2010-10,Freezer,37677
2010,2010-Q1,2010-10,French Door,29542
2010,2010-Q1,2010-10,Front Load,55767
2010,2010-Q1,2010-10,MHC,68245
2010,2010-Q1,2010-10,Side by Side,51060
2010,2010-Q1,2010-10,Top Load,114672
2010,2010-Q1,2010-10,Top Mount,91876
2010,2010-Q1,2010-11,2 Door Bottom Mount,8336
2010,2010-Q1,2010-11,Built-in Ovens,12497
2010,2010-Q1,2010-11,Cooktops,11531
2010,2010-Q1,2010-11,Dishwasher,119101
2010,2010-Q1,2010-11,Dryer,137544
2010,2010-Q1,2010-11,Free Standing Ranges,125834
2010,2010-Q1,2010-11,Freezer,37574
2010,2010-Q1,2010-11,French Door,32283
2010,2010-Q1,2010-11,Front Load,58146
2010,2010-Q1,2010-11,MHC,72629
2010,2010-Q1,2010-11,Side by Side,55172
2010,2010-Q1,2010-11,Top Load,117676
2010,2010-Q1,2010-11,Top Mount,88596
2010,2010-Q1,2010-12,2 Door Bottom Mount,8336
2010,2010-Q1,2010-12,Built-in Ovens,10794
2010,2010-Q1,2010-12,Cooktops,11188
2010,2010-Q1,2010-12,Dishwasher,143193
2010,2010-Q1,2010-12,Dryer,166526
2010,2010-Q1,2010-12,Free Standing Ranges,121262
2010,2010-Q1,2010-12,Freezer,48097
2010,2010-Q1,2010-12,French Door,23453
2010,2010-Q1,2010-12,Front Load,71910
2010,2010-Q1,2010-12,MHC,63901
2010,2010-Q1,2010-12,Side by Side,59709
2010,2010-Q1,2010-12,Top Load,136436
2010,2010-Q1,2010-12,Top Mount,101125
2010,2010-Q1,2010-13,2 Door Bottom Mount,8336
2010,2010-Q1,2010-13,Built-in Ovens,11208
2010,2010-Q1,2010-13,Cooktops,15482
2010,2010-Q1,2010-13,Dishwasher,141805
2010,2010-Q1,2010-13,Dryer,155543
2010,2010-Q1,2010-13,Free Standing Ranges,124375
2010,2010-Q1,2010-13,Freezer,42391
2010,2010-Q1,2010-13,French Door,31982
2010,2010-Q1,2010-13,Front Load,69081
2010,2010-Q1,2010-13,MHC,64025
2010,2010-Q1,2010-13,Side by Side,43045
2010,2010-Q1,2010-13,Top Load,115303
2010,2010-Q1,2010-13,Top Mount,102608
2010,2010-Q2,2010-14,2 Door Bottom Mount,9540
2010,2010-Q2,2010-14,Built-in Ovens,13137
2010,2010-Q2,2010-14,Cooktops,16719
2010,2010-Q2,2010-14,Dishwasher,110049
2010,2010-Q2,2010-14,Dryer,142992
2010,2010-Q2,2010-14,Free Standing Ranges,134744
